run,benchmark,ratio,ratio_lower,ratio_upper
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d24_q12,2.192314972302643,2.1856298134583922,2.200066722797681
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d24_q24,1.8337428285903885,1.8278266297409083,1.8421499963766297
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d24_q96,1.9424599492088486,1.9377639079043225,1.9470513935856792
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d32_q128,2.081935429551786,2.076028836010186,2.088702644529702
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d32_q16,2.1796798467564025,2.1579783088038202,2.2055005604464215
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d32_q32,1.7254206429389807,1.7207902221019222,1.7304505510332342
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d48_q192,2.480665213108212,2.4712778207442208,2.4903429193900246
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d48_q24,1.8424127926437914,1.8355833617613577,1.850057463715804
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d48_q48,1.6831389155982817,1.6754992855891397,1.6917604058724938
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d64_q256,2.285619742111096,2.2761798801797295,2.2961433362931194
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d64_q32,1.5705786754763384,1.5661495689788802,1.5755071761232742
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d64_q64,1.5631567049210215,1.5582314930740366,1.568678951286587
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d88_q352,2.239611705677496,2.2335031347180423,2.246479567770102
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d88_q44,1.6068118285978967,1.602205285654329,1.611536923338844
rem_knuth_direct,division_tuning_x86_64/dyn_rem_knuth/d88_q88,1.5206197953790515,1.5154356582465547,1.526483152772774
