family,corpus,d,q,before_ns,after_ns,after_over_before,before_lower_ns,before_upper_ns,after_lower_ns,after_upper_ns
dyn_rem,irregular,1573,6292,7430566.42,7778549.74,1.046831331601232,7401108.927166667,7462538.062333333,7706457.798500001,7855157.088166668
dyn_rem,irregular,3109,3109,2076078.6925137674,2059981.9995554977,0.9922465882356417,2060046.9985109342,2094163.1203617041,2048633.3122842722,2074183.088671055
dyn_rem,irregular,233,1864,852536.4114207119,864702.4596675023,1.0142704148278152,848695.4622319617,856645.044404925,859317.4937584236,870461.9831696422
dyn_rem,irregular,233,233,108995.34651949976,110739.97549669936,1.0160064537882587,108339.91265911618,109760.28243427162,109899.78546142779,111630.42795993848
dyn_rem,irregular,3109,12436,19936043.0,20483858.733333334,1.0274786592973006,19861609.92125,20015990.88375,20239852.446666665,20784476.43375
dyn_rem,irregular,787,3148,2679622.533516189,1377934.0439622707,0.5142269206678717,2651089.929707268,2714033.4266166794,1367942.9191222063,1389778.8252026665
dyn_rem,irregular,787,787,419363.54018031707,404247.7861669623,0.9639554883410815,413962.43179031974,426214.252374248,401254.1927904761,407494.6313996818
dyn_rem,irregular,1573,3146,4899025.852380952,4961672.623809525,1.0127875976400749,4864748.8403571425,4938532.625238096,4939532.772261904,4986819.346785714
dyn_rem,irregular,1573,1573,883314.4363036493,926967.5602994709,1.0494196881673237,877445.483846551,889519.7051712904,913305.3118326905,946745.431382093
dyn_rem,irregular,787,1574,736126.2471310734,725074.9764917557,0.984987261787787,731776.9865643373,740654.999702255,715525.6292545992,738203.5353727626
