family,bz_cutoff,d,q,nr_over_bz,nr_over_bz_lower,nr_over_bz_upper,nr_over_knuth,nr_over_knuth_lower,nr_over_knuth_upper
dyn_div,64,160,320,1.0630363706878307,1.055823647857143,1.072376913148148,,,
dyn_div,64,160,640,0.8957930292328041,0.8905868621712962,0.9014153672003969,,,
dyn_div,64,160,1280,0.9171510220039683,0.9126034986170635,0.9212029882068454,,,
dyn_div,64,224,56,0.257184513143424,0.25579491297052154,0.25853802688492067,,,
dyn_div,64,224,112,0.4076837186967418,0.404142835679198,0.4119734322055137,,,
dyn_div,64,224,224,0.7198766655803572,0.7166581821428573,0.7229866213489583,,,
dyn_div,64,224,448,0.7393325276388889,0.7320694748611113,0.7493464584722223,,,
dyn_div,64,224,896,0.815776534186508,0.8115896975783731,0.8195674475347223,,,
dyn_div,64,224,1792,0.8554049058730159,0.8398074927777779,0.8689065897678571,,,
dyn_div,64,384,96,0.21588951208085316,0.2144416471894841,0.21769259057291668,,,
dyn_div,64,384,192,0.41642698025510205,0.4114645684247448,0.42153222409226193,,,
dyn_div,64,384,384,0.6443746720734128,0.6425057736726191,0.6463694190079365,,,
dyn_div,64,384,768,0.5517298387896826,0.5485962111111111,0.5546389831349205,,,
dyn_div,64,384,1536,0.5655264044444445,0.5606488249999999,0.5716773943333332,,,
dyn_div,64,384,3072,0.5744747666666667,0.5691197516666666,0.5800554333333333,,,
dyn_div,64,787,197,0.21266070840277773,0.21004293673611113,0.21603386553125,,,
dyn_div,64,787,394,0.30162447462301584,0.29896026877232146,0.30480341499999997,,,
dyn_div,64,787,787,0.44150162567460316,0.4377529948412698,0.4457547604255952,,,
dyn_div,64,787,1574,0.4502327496031746,0.44169567000000004,0.45728622402976193,,,
dyn_div,64,787,3148,0.47667535,0.46159290000000003,0.49230104999999996,,,
dyn_div,64,787,6296,1.4436596000000002,1.4099196999999999,1.47614181,,,
dyn_div,64,1573,393,0.16252722634920636,0.16044649276190476,0.16527137175,,,
dyn_div,64,1573,787,0.22471830317460317,0.22258276984126987,0.22691431154761904,,,
dyn_div,64,1573,1573,0.38594415607142857,0.3835597315476191,0.3883872533333333,,,
dyn_div,64,1573,3146,0.411477,0.4082215975,0.4139005,,,
dyn_div,64,1573,6292,1.1363575,1.1033625975,1.1736610324999999,,,
dyn_div,64,1573,12584,1.3916768,1.382592,1.4028911000000002,,,
dyn_div,64,3109,777,0.11973759999999997,0.11748019999999999,0.12262286083333333,,,
dyn_div,64,3109,1555,0.1923876,0.1906503966666667,0.19403926666666665,,,
dyn_div,64,3109,3109,0.37413379999999996,0.3669478475,0.3824132,,,
dyn_div,64,3109,6218,0.4099391,0.40069520000000003,0.4213876,,,
dyn_div,64,3109,12436,1.3448106000000002,1.3254699675000001,1.3630519225,,,
dyn_div,64,3109,24872,1.1483472,1.1338887,1.1623451375000002,,,
dyn_div,88,48,12,0.8496168217127302,0.8471109461515912,0.8522204148366833,0.8616950561538229,0.8570510613550679,0.866795370389525
dyn_div,88,48,24,0.7179955817425508,0.7140171825213206,0.7227112824178502,0.7208985358613548,0.7171679441242691,0.7265411545894247
dyn_div,88,48,48,0.8246932606200397,0.8195214214315477,0.8317258327503722,0.832558448423682,0.8298006119968911,0.8357439832330996
dyn_div,88,48,96,1.192489312055049,1.1891115064560958,1.1964662968777442,1.192256664348193,1.1874884914133739,1.1969908953070751
dyn_div,88,48,192,2.28762757499504,2.2741510819561017,2.3039582390575397,2.3130753548611107,2.302496932642361,2.3236059744791664
dyn_div,88,48,384,3.285723922590703,3.2640084804063205,3.307901350396826,3.3125312418990926,3.3030463720068024,3.3215421683426873
dyn_div,88,64,16,0.6268429568532622,0.6234231136040826,0.630282742485626,0.6401855933014403,0.6385109063662552,0.6418111467407408
dyn_div,88,64,32,0.6141746326416447,0.6020622570243608,0.629313098411045,0.6093466194169928,0.6063252119562337,0.6124735168607307
